"id","study","farm","plot","block","crop","type","original_coll_date","year","porewater_no3_mgl","porewater_drp_mgl","month","log_no3","log_drp","factor(type, levels = c(""L"", ""S""))"
49,"NREC-lys","ISU","205","2","AR","L",2024-04-20,"2024",0.0732,0.01,4,0.0306806639999014,0.00432137378264258,"L"
72,"NREC-lys","ISU","205","2","AR","L",2024-04-24,"2024",0.0689,0.01,4,0.028937077070678,0.00432137378264258,"L"
110,"NREC-lys","ISU","205","2","AR","L",2024-04-30,"2024",0.11,0.01,4,0.0453229787866575,0.00432137378264258,"L"
104,"NREC-lys","ISU","305","3","AR","L",2024-04-30,"2024",0.1,0.07,4,0.0413926851582251,0.0293837776852097,"L"
1,"NREC-lys","ISU","406","4","AR","L",2024-04-10,"2024",0.0376,0.02,4,0.0160299630760237,0.00860017176191757,"L"
51,"NREC-lys","ISU","406","4","AR","L",2024-04-24,"2024",0.236,0.03,4,0.092018470752797,0.0128372247051722,"L"
88,"NREC-lys","ISU","406","4","AR","L",2024-04-30,"2024",0.0563,0.01,4,0.0237872797898467,0.00432137378264258,"L"
20,"NREC-lys","ISU","103","1","CR","L",2024-04-10,"2024",0.0624,0.02,4,0.0262880620239423,0.00860017176191757,"L"
62,"NREC-lys","ISU","103","1","CR","L",2024-04-24,"2024",0.0524,0.01,4,0.0221808394136653,0.00432137378264258,"L"
122,"NREC-lys","ISU","103","1","CR","L",2024-04-30,"2024",0.13,0.01,4,0.0530784434834197,0.00432137378264258,"L"
27,"NREC-lys","ISU","203","2","CR","L",2024-04-10,"2024",0.1112,0.02,4,0.0457922327295591,0.00860017176191757,"L"
69,"NREC-lys","ISU","203","2","CR","L",2024-04-24,"2024",0.46,0.06,4,0.164352855784437,0.0253058652647703,"L"
9,"NREC-lys","ISU","301","3","CR","L",2024-04-10,"2024",0.0503,0.02,4,0.0213133654846951,0.00860017176191757,"L"
37,"NREC-lys","ISU","301","3","CR","L",2024-04-20,"2024",0.0822,0.01,4,0.034307529596563,0.00432137378264258,"L"
83,"NREC-lys","ISU","301","3","CR","L",2024-04-24,"2024",0.0841,0.01,4,0.0350693444211045,0.00432137378264258,"L"
97,"NREC-lys","ISU","301","3","CR","L",2024-04-30,"2024",0.13,0.05,4,0.0530784434834197,0.0211892990699381,"L"
124,"NREC-lys","ISU","101","1","F","L",2024-04-30,"2024",35.5,0.01,4,1.56229286445647,0.00432137378264258,"L"
46,"NREC-lys","ISU","202","2","F","L",2024-04-20,"2024",0.876,0.03,4,0.273232834043046,0.0128372247051722,"L"
68,"NREC-lys","ISU","202","2","F","L",2024-04-24,"2024",1.128,0.05,4,0.327971623623011,0.0211892990699381,"L"
106,"NREC-lys","ISU","202","2","F","L",2024-04-30,"2024",2.03,0.01,4,0.481442628502305,0.00432137378264258,"L"
11,"NREC-lys","ISU","302","3","F","L",2024-04-10,"2024",17.04,0.06,4,1.25623653320592,0.0253058652647703,"L"
38,"NREC-lys","ISU","302","3","F","L",2024-04-20,"2024",14.56,0.04,4,1.19200959265367,0.0170333392987804,"L"
84,"NREC-lys","ISU","302","3","F","L",2024-04-24,"2024",14.48,0.05,4,1.18977095634687,0.0211892990699381,"L"
99,"NREC-lys","ISU","302","3","F","L",2024-04-30,"2024",12.2,0.01,4,1.12057393120585,0.00432137378264258,"L"
8,"NREC-lys","ISU","401","4","F","L",2024-04-10,"2024",34.8,0.12,4,1.55388302664387,0.0492180226701817,"L"
36,"NREC-lys","ISU","401","4","F","L",2024-04-20,"2024",48.2,0.02,4,1.69196510276736,0.00860017176191757,"L"
80,"NREC-lys","ISU","401","4","F","L",2024-04-24,"2024",38.1,0.03,4,1.59217675739587,0.0128372247051722,"L"
96,"NREC-lys","ISU","401","4","F","L",2024-04-30,"2024",58.9,0.01,4,1.77742682238931,0.00432137378264258,"L"
111,"NREC-lys","ISU","206","2","GPC","L",2024-04-30,"2024",0.32,0.03,4,0.12057393120585,0.0128372247051722,"L"
40,"NREC-lys","ISU","306","3","GPC","L",2024-04-20,"2024",0.111,0.01,4,0.0457140589408676,0.00432137378264258,"L"
56,"NREC-lys","ISU","306","3","GPC","L",2024-04-24,"2024",0.101,0.05,4,0.0417873189717518,0.0211892990699381,"L"
114,"NREC-lys","ISU","306","3","GPC","L",2024-04-30,"2024",0.15,0.02,4,0.0606978403536116,0.00860017176191757,"L"
3,"NREC-lys","ISU","405","4","GPC","L",2024-04-10,"2024",0.1092,0.03,4,0.045009860905824,0.0128372247051722,"L"
32,"NREC-lys","ISU","405","4","GPC","L",2024-04-20,"2024",0.0131,0.01,4,0.00565231535507401,0.00432137378264258,"L"
76,"NREC-lys","ISU","405","4","GPC","L",2024-04-24,"2024",0.0598,0.02,4,0.0252239151783108,0.00860017176191757,"L"
91,"NREC-lys","ISU","405","4","GPC","L",2024-04-30,"2024",0.07,0.01,4,0.0293837776852097,0.00432137378264258,"L"
21,"NREC-lys","ISU","102","1","PCRO","L",2024-04-10,"2024",1.26,0.01,4,0.354108439147401,0.00432137378264258,"L"
43,"NREC-lys","ISU","102","1","PCRO","L",2024-04-20,"2024",0.475,0.03,4,0.168792020314182,0.0128372247051722,"L"
87,"NREC-lys","ISU","102","1","PCRO","L",2024-04-24,"2024",0.227,0.01,4,0.0888445627270043,0.00432137378264258,"L"
123,"NREC-lys","ISU","102","1","PCRO","L",2024-04-30,"2024",0.38,0.01,4,0.139879086401236,0.00432137378264258,"L"
108,"NREC-lys","ISU","204","2","PCRO","L",2024-04-30,"2024",1.1,0.02,4,0.322219294733919,0.00860017176191757,"L"
102,"NREC-lys","ISU","304","3","PCRO","L",2024-04-30,"2024",2.52,0.02,4,0.546542663478131,0.00860017176191757,"L"
6,"NREC-lys","ISU","402","4","PCRO","L",2024-04-10,"2024",17.32,0.03,4,1.26292546933183,0.0128372247051722,"L"
35,"NREC-lys","ISU","402","4","PCRO","L",2024-04-20,"2024",21.3,0.01,4,1.34830486304816,0.00432137378264258,"L"
79,"NREC-lys","ISU","402","4","PCRO","L",2024-04-24,"2024",21.5,0.02,4,1.35218251811136,0.00860017176191757,"L"
94,"NREC-lys","ISU","402","4","PCRO","L",2024-04-30,"2024",17.6,0.01,4,1.26951294421792,0.00432137378264258,"L"
19,"NREC-lys","ISU","104","1","WPC","L",2024-04-10,"2024",0.0465,0.01,4,0.0197392326747053,0.00432137378264258,"L"
42,"NREC-lys","ISU","104","1","WPC","L",2024-04-20,"2024",0.0913,0.01,4,0.0379441552030985,0.00432137378264258,"L"
60,"NREC-lys","ISU","104","1","WPC","L",2024-04-24,"2024",0.0588,0.01,4,0.0248139326293106,0.00432137378264258,"L"
120,"NREC-lys","ISU","104","1","WPC","L",2024-04-30,"2024",0.06,0.01,4,0.0253058652647703,0.00432137378264258,"L"
24,"NREC-lys","ISU","201","2","WPC","L",2024-04-10,"2024",7.26,0.02,4,0.916980047320382,0.00860017176191757,"L"
45,"NREC-lys","ISU","201","2","WPC","L",2024-04-20,"2024",1.82,0.01,4,0.450249108319361,0.00432137378264258,"L"
66,"NREC-lys","ISU","201","2","WPC","L",2024-04-24,"2024",1.94,0.01,4,0.468347330412157,0.00432137378264258,"L"
127,"NREC-lys","ISU","201","2","WPC","L",2024-04-30,"2024",1.04,0.01,4,0.309630167425899,0.00432137378264258,"L"
13,"NREC-lys","ISU","303","3","WPC","L",2024-04-10,"2024",0.971,0.01,4,0.294686624279443,0.00432137378264258,"L"
39,"NREC-lys","ISU","303","3","WPC","L",2024-04-20,"2024",0.134,0.01,4,0.0546130545568877,0.00432137378264258,"L"
86,"NREC-lys","ISU","303","3","WPC","L",2024-04-24,"2024",0.0937,0.02,4,0.0388982121145326,0.00860017176191757,"L"
101,"NREC-lys","ISU","303","3","WPC","L",2024-04-30,"2024",5.23,0.01,4,0.79448804665917,0.00432137378264258,"L"
154,"NREC-lys","ISU","106","1","AR","L",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381,"L"
202,"NREC-lys","ISU","106","1","AR","L",2025-05-21,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381,"L"
70,"NREC-lys","ISU","205","2","AR","L",2025-04-03,"2025",6.2,0.05,4,0.857332496431269,0.0211892990699381,"L"
118,"NREC-lys","ISU","205","2","AR","L",2025-04-21,"2025",13.9,0.05,4,1.17318626841227,0.0211892990699381,"L"
166,"NREC-lys","ISU","205","2","AR","L",2025-05-02,"2025",11.8,0.05,5,1.10720996964787,0.0211892990699381,"L"
214,"NREC-lys","ISU","205","2","AR","L",2025-05-21,"2025",18.2,0.05,5,1.28330122870355,0.0211892990699381,"L"
82,"NREC-lys","ISU","305","3","AR","L",2025-04-03,"2025",32,0.05,4,1.51851393987789,0.0211892990699381,"L"
130,"NREC-lys","ISU","305","3","AR","L",2025-04-21,"2025",21.3,0.05,4,1.34830486304816,0.0211892990699381,"L"
178,"NREC-lys","ISU","305","3","AR","L",2025-05-02,"2025",15.8,0.05,5,1.22530928172586,0.0211892990699381,"L"
226,"NREC-lys","ISU","305","3","AR","L",2025-05-21,"2025",21.8,0.05,5,1.35793484700045,0.0211892990699381,"L"
94,"NREC-lys","ISU","406","4","AR","L",2025-04-03,"2025",28.4,0.05,4,1.46834733041216,0.0211892990699381,"L"
142,"NREC-lys","ISU","406","4","AR","L",2025-04-21,"2025",22.3,0.5,4,1.36735592102602,0.176091259055681,"L"
190,"NREC-lys","ISU","406","4","AR","L",2025-05-02,"2025",22.5,0.05,5,1.37106786227174,0.0211892990699381,"L"
238,"NREC-lys","ISU","406","4","AR","L",2025-05-21,"2025",20.2,0.05,5,1.32633586092875,0.0211892990699381,"L"
56,"NREC-lys","ISU","103","1","CR","L",2025-04-03,"2025",0.4,0.05,4,0.146128035678238,0.0211892990699381,"L"
116,"NREC-lys","ISU","203","2","CR","L",2025-04-21,"2025",1.2,0.05,4,0.342422680822206,0.0211892990699381,"L"
164,"NREC-lys","ISU","203","2","CR","L",2025-05-02,"2025",1,0.05,5,0.301029995663981,0.0211892990699381,"L"
80,"NREC-lys","ISU","301","3","CR","L",2025-04-03,"2025",3.9,0.05,4,0.690196080028514,0.0211892990699381,"L"
128,"NREC-lys","ISU","301","3","CR","L",2025-04-21,"2025",0.4,0.05,4,0.146128035678238,0.0211892990699381,"L"
176,"NREC-lys","ISU","301","3","CR","L",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381,"L"
224,"NREC-lys","ISU","301","3","CR","L",2025-05-21,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381,"L"
140,"NREC-lys","ISU","403","4","CR","L",2025-04-21,"2025",0.4,0.42,4,0.146128035678238,0.152288344383056,"L"
188,"NREC-lys","ISU","403","4","CR","L",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381,"L"
50,"NREC-lys","ISU","101","1","F","L",2025-04-03,"2025",17.7,0.05,4,1.2718416065365,0.0211892990699381,"L"
98,"NREC-lys","ISU","101","1","F","L",2025-04-21,"2025",16,0.5,4,1.23044892137827,0.176091259055681,"L"
146,"NREC-lys","ISU","101","1","F","L",2025-05-02,"2025",20.6,0.05,5,1.33445375115093,0.0211892990699381,"L"
194,"NREC-lys","ISU","101","1","F","L",2025-05-21,"2025",24.2,0.25,5,1.40140054078154,0.0969100130080564,"L"
62,"NREC-lys","ISU","202","2","F","L",2025-04-03,"2025",4.9,0.05,4,0.770852011642144,0.0211892990699381,"L"
110,"NREC-lys","ISU","202","2","F","L",2025-04-21,"2025",5.4,0.05,4,0.806179973983887,0.0211892990699381,"L"
122,"NREC-lys","ISU","302","3","F","L",2025-04-21,"2025",11.9,0.05,4,1.11058971029925,0.0211892990699381,"L"
170,"NREC-lys","ISU","302","3","F","L",2025-05-02,"2025",12.2,0.05,5,1.12057393120585,0.0211892990699381,"L"
218,"NREC-lys","ISU","302","3","F","L",2025-05-21,"2025",14.1,0.05,5,1.17897694729317,0.0211892990699381,"L"
86,"NREC-lys","ISU","401","4","F","L",2025-04-03,"2025",34,0.05,4,1.54406804435028,0.0211892990699381,"L"
134,"NREC-lys","ISU","401","4","F","L",2025-04-21,"2025",35.1,0.05,4,1.55750720190566,0.0211892990699381,"L"
182,"NREC-lys","ISU","401","4","F","L",2025-05-02,"2025",36.8,0.05,5,1.57749179983723,0.0211892990699381,"L"
230,"NREC-lys","ISU","401","4","F","L",2025-05-21,"2025",42.6,0.05,5,1.63948648926859,0.0211892990699381,"L"
60,"NREC-lys","ISU","105","1","GPC","L",2025-04-03,"2025",11.7,0.05,4,1.10380372095596,0.0211892990699381,"L"
108,"NREC-lys","ISU","105","1","GPC","L",2025-04-21,"2025",11.4,0.05,4,1.09342168516224,0.0211892990699381,"L"
156,"NREC-lys","ISU","105","1","GPC","L",2025-05-02,"2025",10,0.05,5,1.04139268515823,0.0211892990699381,"L"
204,"NREC-lys","ISU","105","1","GPC","L",2025-05-21,"2025",8.8,0.05,5,0.991226075692495,0.0211892990699381,"L"
72,"NREC-lys","ISU","206","2","GPC","L",2025-04-03,"2025",8.8,0.05,4,0.991226075692495,0.0211892990699381,"L"
120,"NREC-lys","ISU","206","2","GPC","L",2025-04-21,"2025",8.7,0.05,4,0.986771734266245,0.0211892990699381,"L"
168,"NREC-lys","ISU","206","2","GPC","L",2025-05-02,"2025",7.7,0.05,5,0.939519252618618,0.0211892990699381,"L"
216,"NREC-lys","ISU","206","2","GPC","L",2025-05-21,"2025",9.9,0.05,5,1.03742649794062,0.0211892990699381,"L"
96,"NREC-lys","ISU","405","4","GPC","L",2025-04-03,"2025",15.1,0.05,4,1.20682587603185,0.0211892990699381,"L"
144,"NREC-lys","ISU","405","4","GPC","L",2025-04-21,"2025",15.8,0.05,4,1.22530928172586,0.0211892990699381,"L"
192,"NREC-lys","ISU","405","4","GPC","L",2025-05-02,"2025",16.9,0.05,5,1.25285303097989,0.0211892990699381,"L"
240,"NREC-lys","ISU","405","4","GPC","L",2025-05-21,"2025",14,0.05,5,1.17609125905568,0.0211892990699381,"L"
64,"NREC-lys","ISU","204","2","PCRO","L",2025-04-03,"2025",14.8,0.05,4,1.19865708695442,0.0211892990699381,"L"
112,"NREC-lys","ISU","204","2","PCRO","L",2025-04-21,"2025",16.7,0.05,4,1.24797326636181,0.0211892990699381,"L"
160,"NREC-lys","ISU","204","2","PCRO","L",2025-05-02,"2025",20.8,0.05,5,1.3384564936046,0.0211892990699381,"L"
208,"NREC-lys","ISU","204","2","PCRO","L",2025-05-21,"2025",26.1,0.05,5,1.43296929087441,0.0211892990699381,"L"
76,"NREC-lys","ISU","304","3","PCRO","L",2025-04-03,"2025",13,0.05,4,1.14612803567824,0.0211892990699381,"L"
124,"NREC-lys","ISU","304","3","PCRO","L",2025-04-21,"2025",14.5,0.05,4,1.19033169817029,0.0211892990699381,"L"
172,"NREC-lys","ISU","304","3","PCRO","L",2025-05-02,"2025",16.1,0.05,5,1.23299611039215,0.0211892990699381,"L"
220,"NREC-lys","ISU","304","3","PCRO","L",2025-05-21,"2025",17.7,0.05,5,1.2718416065365,0.0211892990699381,"L"
88,"NREC-lys","ISU","402","4","PCRO","L",2025-04-03,"2025",37.4,0.25,4,1.58433122436753,0.0969100130080564,"L"
136,"NREC-lys","ISU","402","4","PCRO","L",2025-04-21,"2025",59.8,0.05,4,1.78390357927273,0.0211892990699381,"L"
184,"NREC-lys","ISU","402","4","PCRO","L",2025-05-02,"2025",36.5,0.05,5,1.57403126772772,0.0211892990699381,"L"
232,"NREC-lys","ISU","402","4","PCRO","L",2025-05-21,"2025",50.5,0.05,5,1.71180722904119,0.0211892990699381,"L"
54,"NREC-lys","ISU","104","1","WPC","L",2025-04-03,"2025",12.6,0.05,4,1.13353890837022,0.0211892990699381,"L"
162,"NREC-lys","ISU","201","2","WPC","L",2025-05-02,"2025",4,1,5,0.698970004336019,0.301029995663981,"L"
78,"NREC-lys","ISU","303","3","WPC","L",2025-04-03,"2025",34.2,0.05,4,1.54654266347813,0.0211892990699381,"L"
126,"NREC-lys","ISU","303","3","WPC","L",2025-04-21,"2025",30.9,0.05,4,1.50379068305718,0.0211892990699381,"L"
174,"NREC-lys","ISU","303","3","WPC","L",2025-05-02,"2025",30.9,0.05,5,1.50379068305718,0.0211892990699381,"L"
222,"NREC-lys","ISU","303","3","WPC","L",2025-05-21,"2025",51.6,0.05,5,1.72098574415374,0.0211892990699381,"L"
